subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct,r_att_std,r_ign_std
sub-001,HI,2,100,average,,,,0.07165304957176297,0.013581034213800993,0.05807201535796197,True,0.023425529911536888,0.011844898920170426
sub-001,HI,2,100,average,,,,0.11790220665813597,0.018348157399019505,0.09955404925911647,True,0.062093796354196755,0.009180179992314515
sub-001,HI,2,100,average,,,,0.11484357692881045,0.0195363091606179,0.09530726776819255,True,0.019122396054570175,0.01270481634516293
sub-001,HI,2,100,average,,,,0.14376855066537853,0.022597080897492086,0.12117146976788644,True,0.05216060741317034,0.004733839326264821
sub-001,HI,2,100,average,,,,0.038812209476777056,0.05167216133180322,-0.012859951855026162,False,0.011832332258410615,0.0033780753302863134
sub-001,HI,2,100,average,,,,0.021680737823489768,0.03793180691864729,-0.01625106909515752,False,0.013537683812601314,0.015379468308463448
sub-001,HI,2,100,average,,,,0.18029426263086054,0.0690591998176083,0.11123506281325224,True,0.029037548689453296,0.004818664312646097
sub-001,HI,2,100,average,,,,0.07899892956845983,0.06318259791405349,0.015816331654406338,True,0.02927175427811598,0.03446478661719936
sub-001,HI,2,100,average,,,,0.1412288148167553,0.03667201549454857,0.10455679932220674,True,0.0462575865860624,0.027902030457123566
sub-001,HI,2,100,average,,,,0.04218119617820938,0.1372563868324701,-0.09507519065426072,False,0.013316421209914461,0.04303297168336612
sub-001,HI,2,100,average,,,,0.02996232372580028,0.009087704096879347,0.020874619628920933,True,0.022842968255231584,0.0024888667441540038
sub-001,HI,2,100,average,,,,0.11742567076134922,0.025039223424900975,0.09238644733644824,True,0.020910156717362738,0.012303222434277616
sub-001,HI,2,100,average,,,,0.07104395783034864,0.07773191370005372,-0.006687955869705081,False,0.0021501152560693196,0.03578514410389578
sub-001,HI,2,100,average,,,,0.07616393075026513,0.05907102715055157,0.017092903599713563,True,0.006066160670351969,0.021490012040766938
sub-001,HI,2,100,average,,,,0.10671865332472408,0.03125660139944889,0.07546205192527519,True,0.003308291952108647,0.005140611264909204
sub-001,HI,2,100,average,,,,0.11569062269101339,0.13729514892142414,-0.021604526230410745,False,0.04445492642551367,0.056176654503093296
sub-002,HI,2,100,average,,,,0.2961403451373327,0.07563444965059056,0.2205058954867421,True,0.05297986279140379,0.017025901462066423
sub-002,HI,2,100,average,,,,0.19957206152212953,0.06190822228986073,0.1376638392322688,True,0.03821823159578311,0.012141228616858457
