subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct,r_att_std,r_ign_std
sub-001,HI,16,800,average,,,,0.09599419041545938,0.03698854345663035,0.05900564695882903,True,0.06063397173352638,0.025508830419621098
sub-001,HI,16,800,average,,,,0.08755189625980818,0.06417625262753467,0.023375643632273513,True,0.044742034757272044,0.05591970053462277
sub-002,HI,16,800,average,,,,0.14832618094778224,0.0716644122364598,0.07666176871132244,True,0.08313755460574036,0.044835530363884914
sub-002,HI,16,800,average,,,,0.13584274121102966,0.030292074659933076,0.10555066655109657,True,0.06593074443285835,0.026967504225263964
sub-003,HI,16,800,average,,,,0.03960412401260189,0.05707806844472048,-0.01747394443211859,False,0.03507489830490267,0.03721369114803194
sub-003,HI,16,800,average,,,,0.04328074556911764,0.05823107655568299,-0.014950330986565355,False,0.025288752003476828,0.042796066153774556
sub-004,HI,16,800,average,,,,0.0749945035024205,0.04010286074909094,0.03489164275332956,True,0.05014134559440632,0.02670746964738386
sub-004,HI,16,800,average,,,,0.09718774393434977,0.06761497532546967,0.0295727686088801,True,0.0672319751749909,0.057280552390440775
sub-005,HI,16,800,average,,,,0.08552625251837306,0.04143156553769252,0.044094686980680545,True,0.06591627316623026,0.023963715759462684
sub-005,HI,16,800,average,,,,0.07450072032988336,0.047136993385009776,0.027363726944873587,True,0.053298452272622907,0.04011812887534937
sub-006,HI,16,800,average,,,,0.09151975415906587,0.041923522346977715,0.04959623181208815,True,0.04904415481108184,0.030945473125750002
sub-006,HI,16,800,average,,,,0.06787726224631774,0.07130070128360969,-0.0034234390372919477,False,0.040822692243287786,0.04687337466039824
sub-007,HI,16,800,average,,,,0.07755790356357437,0.05417857517915043,0.023379328384423935,True,0.05312919270275424,0.041761704942071924
sub-007,HI,16,800,average,,,,0.06123459586497791,0.05441063821766896,0.006823957647308948,True,0.03730920907262959,0.03353536561638077
sub-008,HI,16,800,average,,,,0.05668953846801696,0.06439118274530692,-0.007701644277289955,False,0.05609083937412121,0.03961479809377044
sub-008,HI,16,800,average,,,,0.06304681528020029,0.060995281885772246,0.00205153339442804,True,0.044714074700237555,0.04117015892768385
sub-009,HI,16,800,average,,,,0.10941881251913323,0.05177290038874231,0.057645912130390914,True,0.04391836203826248,0.04002596995293986
sub-009,HI,16,800,average,,,,0.09079065085699818,0.03547947024054213,0.055311180616456054,True,0.06266348710996608,0.02606717394885278
sub-010,HI,16,800,average,,,,0.09441489365528166,0.05506131846451331,0.039353575190768354,True,0.04292213273824947,0.04437756475611244
sub-010,HI,16,800,average,,,,0.0964572662435808,0.04353232833851099,0.0529249379050698,True,0.04269985927452961,0.041284712463070895
