subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct,r_att_std,r_ign_std
sub-021,NH,2,100,average,,,,0.1178363573628796,0.06710575427633592,0.05073060308654369,True,0.01144595307406697,0.029241526804617952
sub-021,NH,2,100,average,,,,0.04020152428169262,0.043645246380211,-0.0034437220985183772,False,0.014292432331886975,0.01561110468771813
sub-021,NH,2,100,average,,,,0.09503814328701674,0.06697145947637824,0.028066683810638496,True,0.055549391362438895,0.05827105000371173
sub-021,NH,2,100,average,,,,0.035073039450013645,0.042221189927018704,-0.007148150477005059,False,0.01387711072466564,0.010010054003339791
sub-021,NH,2,100,average,,,,0.12014076383370893,0.04939599081548879,0.07074477301822014,True,0.034590980088440484,0.018477437966275198
sub-021,NH,2,100,average,,,,0.08754756695895732,0.05594708397356364,0.03160048298539368,True,0.02934348514247776,0.005491747273749185
sub-021,NH,2,100,average,,,,0.10813018638189911,0.08496451240062515,0.023165673981273963,True,0.015225206180470421,0.016072150042080555
sub-021,NH,2,100,average,,,,0.09232746060917817,0.02243159813629897,0.0698958624728792,True,0.039956072497427365,0.013016562493718457
sub-021,NH,2,100,average,,,,0.10623339097023987,0.0025529457338526133,0.10368044523638725,True,0.06047664525484701,0.0015392661900440515
sub-021,NH,2,100,average,,,,0.10129235782748651,0.062412252812453356,0.03888010501503315,True,0.016945369121651135,0.004158037900614215
sub-021,NH,2,100,average,,,,0.12869204920216026,0.023218698617241004,0.10547335058491926,True,0.037270299323773494,0.02218022237248866
sub-021,NH,2,100,average,,,,0.06324384385971413,0.06650106063694665,-0.0032572167772325217,False,0.01784131941005813,0.026465075934326718
sub-021,NH,2,100,average,,,,0.16090046531347502,0.12960573406639353,0.031294731247081486,True,0.026478197374474655,0.05515543921901827
sub-021,NH,2,100,average,,,,0.06953542688366726,0.07150723164497585,-0.001971804761308593,False,0.005268661218106201,0.015236246761451917
sub-021,NH,2,100,average,,,,0.09199178888531094,0.043875981159315375,0.048115807725995566,True,0.002073143857805382,0.02145010287202173
sub-021,NH,2,100,average,,,,0.2230111310972721,0.05248728835141174,0.17052384274586035,True,0.0006949180469616595,0.018278694788411418
sub-022,NH,2,100,average,,,,0.014658621593029407,0.06258697940773986,-0.04792835781471045,False,0.007495264035650115,0.025458119321986283
sub-022,NH,2,100,average,,,,0.10682859923672963,0.07288945547341419,0.033939143763315444,True,0.017958265202596364,0.0015997077647265656
sub-022,NH,2,100,average,,,,0.07576982230548579,0.11330720365122984,-0.03753738134574405,False,0.004076567024562459,0.004670249040071933
sub-022,NH,2,100,average,,,,0.08093889852946272,0.0427759422548389,0.03816295627462382,True,0.03605942809219413,0.03224381785956375
sub-022,NH,2,100,average,,,,0.029367911709826475,0.07767198455853894,-0.048304072848712465,False,0.009960217704072172,0.07110417608786943
sub-022,NH,2,100,average,,,,0.133084310150277,0.060435159322695234,0.07264915082758176,True,0.010127057597098144,0.03098486427535653
sub-022,NH,2,100,average,,,,0.04156114373187972,0.04294708726417365,-0.0013859435322939317,False,0.00020724311811582893,0.011352850586325017
