subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct,r_att_std,r_ign_std
sub-001,HI,8,400,average,,,,0.11204184595602197,0.01851564541773262,0.09352620053828935,True,0.05042524710642996,0.010612224534392126
sub-001,HI,8,400,average,,,,0.0799465348748968,0.05546144149552807,0.024485093379368723,True,0.06553775258522777,0.02250079165884161
sub-001,HI,8,400,average,,,,0.08269950137052855,0.05201383246219975,0.0306856689083288,True,0.0555217470409057,0.056700683743799773
sub-001,HI,8,400,average,,,,0.09240429114908781,0.07633867279286957,0.01606561835621824,True,0.029562535101789644,0.052375656083652924
sub-002,HI,8,400,average,,,,0.2060476719436975,0.07572001234868243,0.13032765959501508,True,0.07405514391668663,0.05002032715275351
sub-002,HI,8,400,average,,,,0.09060468995186702,0.0676088121242372,0.022995877827629824,True,0.04093898613230063,0.03854245260764656
sub-002,HI,8,400,average,,,,0.16978506388722264,0.015935038155061233,0.15385002573216142,True,0.04681583642883089,0.016567331900459573
sub-002,HI,8,400,average,,,,0.10190041853483667,0.044649111164804925,0.05725130737003174,True,0.06479074814432308,0.027708610350842728
sub-003,HI,8,400,average,,,,0.049979199250354996,0.06492078248144177,-0.014941583231086776,False,0.041714786316137495,0.02712222758595851
sub-003,HI,8,400,average,,,,0.02922904877484878,0.04923535440799921,-0.020006305633150433,False,0.022474189916867775,0.04371597032634782
sub-003,HI,8,400,average,,,,0.04232055080242031,0.0680268715003472,-0.025706320697926888,False,0.02548713583545193,0.04544078112070945
sub-003,HI,8,400,average,,,,0.04424094033581495,0.04843528161101879,-0.004194341275203836,False,0.025052024163966128,0.03749969027099364
sub-004,HI,8,400,average,,,,0.05684588488035541,0.041062354123902106,0.015783530756453307,True,0.04130151386470345,0.03122041315008266
sub-004,HI,8,400,average,,,,0.09314312212448558,0.039143367374279765,0.05399975475020582,True,0.051611523061626,0.021213731816853744
sub-004,HI,8,400,average,,,,0.108239372337692,0.06129393968669894,0.04694543265099306,True,0.07603085786992415,0.05452737708433392
sub-004,HI,8,400,average,,,,0.08613611553100753,0.07393601096424039,0.012200104566767137,True,0.0549118260732008,0.0592366232116391
sub-005,HI,8,400,average,,,,0.06256283759270502,0.03178723526733418,0.03077560232537084,True,0.03747573622579651,0.013108154509411055
sub-005,HI,8,400,average,,,,0.10848966744404107,0.05107589580805086,0.05741377163599021,True,0.07893568572254195,0.02811884454650558
sub-005,HI,8,400,average,,,,0.06019078085039502,0.0392263573465578,0.020964423503837218,True,0.03966503582470802,0.035388820030164775
sub-005,HI,8,400,average,,,,0.0888106598093717,0.05504762942346175,0.03376303038590994,True,0.060816003046283096,0.04291157909848087
sub-006,HI,8,400,average,,,,0.09307005499501636,0.02655706003080511,0.06651299496421126,True,0.05567536940654872,0.020090495229591707
sub-006,HI,8,400,average,,,,0.08996945332311537,0.05728998466315033,0.032679468659965044,True,0.0413050192875777,0.032239111140881016
sub-006,HI,8,400,average,,,,0.0716147008286187,0.05779784929032658,0.013816851538292124,True,0.04563837941442411,0.03554170761729742
sub-006,HI,8,400,average,,,,0.0641398236640168,0.08480355327689276,-0.020663729612875964,False,0.034959774514325796,0.052596192826569216
sub-007,HI,8,400,average,,,,0.07007684718743251,0.06272871646982126,0.0073481307176112565,True,0.046790750445926406,0.04231183708343516
sub-007,HI,8,400,average,,,,0.08503895993971623,0.045628433888479605,0.03941052605123663,True,0.05782832781772097,0.039390082632324123
sub-007,HI,8,400,average,,,,0.061129283740721116,0.036159427724930575,0.02496985601579054,True,0.03664215592945842,0.0212281481491209
sub-007,HI,8,400,average,,,,0.06133990798923472,0.07266184871040736,-0.011321940721172638,False,0.037964251484845536,0.03365106018102779
sub-008,HI,8,400,average,,,,0.061902486474052124,0.08058543937323875,-0.01868295289918663,False,0.034881409703962946,0.04240538187795647
sub-008,HI,8,400,average,,,,0.05147659046198179,0.048196926117375076,0.003279664344606713,True,0.07086114680573524,0.028564666081409895
sub-008,HI,8,400,average,,,,0.08138224183229026,0.07449022973749954,0.00689201209479072,True,0.04473805164006487,0.027173499875128137
sub-008,HI,8,400,average,,,,0.04471138872811034,0.04750033403404495,-0.002788945305934612,False,0.0363981861409819,0.04782611882388351
sub-009,HI,8,400,average,,,,0.10985516219986725,0.04172608480522008,0.06812907739464717,True,0.03823809060884226,0.03523585399276821
sub-009,HI,8,400,average,,,,0.10898246283839919,0.06181971597226455,0.047162746866134635,True,0.04893988836062058,0.04196086424287516
sub-009,HI,8,400,average,,,,0.13140995535910388,0.031445121682037426,0.09996483367706646,True,0.03445594218705863,0.019776426724110722
sub-009,HI,8,400,average,,,,0.05017134635489248,0.03951381879904682,0.010657527555845661,True,0.058020319588005326,0.030583265437202085
sub-010,HI,8,400,average,,,,0.07969605058150503,0.03896189340511422,0.04073415717639081,True,0.04057316875027941,0.02634560291164699
sub-010,HI,8,400,average,,,,0.1091337367290583,0.07116074352391241,0.03797299320514588,True,0.04006430147026453,0.05221362600032015
sub-010,HI,8,400,average,,,,0.1129830594203296,0.04740577710848015,0.06557728231184945,True,0.05092639876180966,0.03612819159255727
sub-010,HI,8,400,average,,,,0.07993147306683202,0.039658879568541826,0.04027259349829019,True,0.022513422508385124,0.0455368150820982
sub-011,HI,8,400,average,,,,0.055839304920666064,0.09717421513415164,-0.04133491021348558,False,0.038762483421307205,0.07301006255113372
sub-011,HI,8,400,average,,,,0.08354433897687484,0.0640305288786723,0.019513810098202536,True,0.04995546666782171,0.05280741265645042
sub-011,HI,8,400,average,,,,0.04563822807807855,0.06564057025579648,-0.02000234217771793,False,0.03581338913647932,0.04007148168055036
sub-011,HI,8,400,average,,,,0.07357527318497181,0.07499944993126609,-0.0014241767462942756,False,0.06257358926508043,0.052305588811726235
sub-012,HI,8,400,average,,,,0.06624108745657975,0.09071062493423059,-0.024469537477650835,False,0.05717741660031587,0.05882485400486397
sub-012,HI,8,400,average,,,,0.0706089267135886,0.06930774572140685,0.0013011809921817385,True,0.05315104807365474,0.04162318144689535
sub-012,HI,8,400,average,,,,0.06670249958306579,0.08232395214554783,-0.015621452562482041,False,0.04212168206941648,0.04742579747174706
sub-012,HI,8,400,average,,,,0.08955045228406563,0.05599924546206208,0.033551206822003556,True,0.042915455773982585,0.025453767477673844
sub-013,HI,8,400,average,,,,0.0473423954531043,0.0464771184851576,0.0008652769679467001,True,0.03184699186862718,0.04051571334534663
sub-013,HI,8,400,average,,,,0.07884225542505671,0.05528470366464108,0.02355755176041563,True,0.05049393833122177,0.04523782781908271
sub-013,HI,8,400,average,,,,0.06123382020139415,0.04772493464136009,0.013508885560034066,True,0.030119533907365395,0.049124011971497475
sub-013,HI,8,400,average,,,,0.09907677247652935,0.05472686063178902,0.04434991184474033,True,0.06637599397284233,0.02840021609493009
sub-014,HI,8,400,average,,,,0.044206326926653355,0.05226308408630768,-0.008056757159654322,False,0.03147724401595834,0.031277095193568825
