subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct,r_att_std,r_ign_std
sub-021,NH,8,400,average,,,,0.07203726609540065,0.05498591251498597,0.01705135358041468,True,0.046422134180174844,0.035974236199442206
sub-021,NH,8,400,average,,,,0.10203649444593588,0.05318479633149414,0.04885169811444174,True,0.03374523175829777,0.02634869418475748
sub-021,NH,8,400,average,,,,0.09986541046490019,0.03867123945012341,0.06119417101477678,True,0.044347095851711545,0.03199010765149545
sub-021,NH,8,400,average,,,,0.13635970304493134,0.07436905880552412,0.061990644239407214,True,0.06180280991056041,0.046196329124516655
sub-022,NH,8,400,average,,,,0.06954898541617689,0.07288989519680569,-0.0033409097806288007,False,0.039581339052233294,0.03301025968938683
sub-022,NH,8,400,average,,,,0.07638751773992362,0.056334976545142655,0.02005254119478097,True,0.044096545018621584,0.042708974200301376
sub-022,NH,8,400,average,,,,0.07670195803020757,0.0771136532684399,-0.00041169523823232634,False,0.0482675563303415,0.033746483192673885
sub-022,NH,8,400,average,,,,0.11443863652695696,0.036757160739212875,0.07768147578774409,True,0.07254952327276339,0.03340938039570114
sub-023,NH,8,400,average,,,,0.08569045356775645,0.048387678151453,0.03730277541630345,True,0.03543689420295719,0.04771909486795826
sub-023,NH,8,400,average,,,,0.08623096233229027,0.04526264504357676,0.040968317288713516,True,0.05573134780694516,0.03516841762934034
sub-023,NH,8,400,average,,,,0.08221187997678511,0.04869453412758934,0.03351734584919577,True,0.04146183497491293,0.04667692491319446
sub-023,NH,8,400,average,,,,0.05389964846768555,0.04782761081043535,0.006072037657250201,True,0.03401990255197307,0.023698940024946928
sub-024,NH,8,400,average,,,,0.09584825474678005,0.058668299499569865,0.037179955247210184,True,0.06275471460914828,0.027258685927239203
sub-024,NH,8,400,average,,,,0.12297462763191941,0.06100544939128856,0.06196917824063085,True,0.047100820889259015,0.040959786778048575
sub-024,NH,8,400,average,,,,0.12386771315629808,0.03349523211266059,0.09037248104363749,True,0.03950665887084888,0.025735691504677884
sub-025,NH,8,400,average,,,,0.05606258361561342,0.06540815389991511,-0.00934557028430169,False,0.03453212410944818,0.04767261554122168
sub-025,NH,8,400,average,,,,0.1132312348554295,0.029355111151259633,0.08387612370416987,True,0.07162921600101571,0.029840133566716012
sub-025,NH,8,400,average,,,,0.07695900453945075,0.05530246619827119,0.021656538341179553,True,0.05731831461445169,0.03496521946046743
